display_title,avg_price,avg_mileage,occurrence_count
Hyundai  Picanto  Negotiable,1090314.51,123813.5,660
Isuzu  Sportage  Negotiable,1070393.63,125857.6,660
Ford  Xpander  Negotiable,1071661.65,128619.6,655
Hyundai  HR-V  Negotiable,1122643.22,124268.9,650
Mitsubishi  Wigo  Negotiable,1080297.58,126879.8,650
Toyota  Picanto  Negotiable,1035844.7,123719.6,649
Foton  MU-X  Negotiable,1073876.47,124817.3,647
Honda  Almera  Certified,1063670.88,128047.5,647
Ford  Vios  Negotiable,1104315.87,130936.9,646
Toyota  D-Max  Negotiable,1098015.93,120804.9,645
Mazda  Wigo  Negotiable,1024529.86,129189.8,644
Hyundai  Civic  Negotiable,1092861.38,124917.7,644
Isuzu  Montero  Sport  Negotiable,1092876.7,123260.0,643
Chevrolet  Vios  Negotiable,1051100.72,129605.6,643
Mazda  EcoSport  Certified,1046195.74,128372.0,642
Nissan  Sportage  Negotiable,1093645.14,127650.4,642
MG  EcoSport  Certified,1099119.51,126704.7,641
Foton  Sportage  Negotiable,1072803.21,129991.2,641
Mitsubishi  EcoSport  Negotiable,1059980.85,125778.0,640
Suzuki  Picanto  Negotiable,1082284.25,125148.2,640
Nissan  Wigo  Negotiable,1041742.77,122960.9,640
honda sportage negotiable,1043210.66,128734.3,640
Mitsubishi  Almera  Negotiable,1063883.33,125163.0,639
Ford  Innova  Negotiable,1078465.13,123158.4,639
MG  Xpander  Certified,1102499.46,128203.0,639
Ford  CR-V  Negotiable,1056189.2,127516.3,638
Honda  CX-5  Negotiable,1069496.07,124300.1,638
Toyota  Navara  Negotiable,1039420.34,127074.3,638
Suzuki  Xpander  Negotiable,1033101.8,127115.6,638
Nissan  Almera  Negotiable,1106052.37,126389.6,637
Honda  Montero  Sport  Negotiable,1101003.95,127759.8,637
Nissan  Mirage  Negotiable,1014417.29,124691.9,637
Kia  Ranger  Certified,1083889.62,122091.0,636
Honda  HR-V  Certified,1048069.54,122445.2,636
Nissan  CR-V  Negotiable,1107504.21,127884.0,635
Suzuki  Accent  Negotiable,1047582.98,120201.9,635
MG  HR-V  Negotiable,1069632.5,122023.8,634
Foton  Wigo  Negotiable,1075749.37,127877.7,634
Suzuki  D-Max  Negotiable,1055531.14,123297.3,633
Hyundai  Accent  Negotiable,1082058.35,126188.5,633
Foton  City  Negotiable,1085995.08,124444.8,633
Kia  CX-5  Negotiable,1106597.06,124681.2,633
Ford  Almera  Negotiable,1073296.31,127712.9,633
Ford  Tucson  Negotiable,1087001.27,126410.8,632
Hyundai  Xpander  Negotiable,1129746.61,126000.1,632
Hyundai  Mirage  Negotiable,1086381.13,121197.5,632
Geely  D-Max  Negotiable,1072457.64,128610.6,632
Toyota  MU-X  Negotiable,1074195.51,122307.7,632
Hyundai  Ertiga  Negotiable,1065850.98,128238.7,631
MG  D-Max  Negotiable,1045427.4,132115.5,631
MG  MU-X  Negotiable,1062279.76,119168.1,631
Toyota  HR-V  Negotiable,1077630.77,123451.3,631
Foton  HR-V  Negotiable,1063145.65,126778.7,631
Isuzu  CX-5  Negotiable,1088201.76,123999.4,631
Chevrolet  CR-V  Negotiable,1036495.16,129054.6,631
Mitsubishi  CR-V  Negotiable,1076248.59,125546.9,631
Geely  Vios  Negotiable,1090090.15,125103.3,630
Geely  Tucson  Certified,1068985.2,124385.6,629
Ford  D-Max  Negotiable,1055153.19,123198.1,629
Isuzu  Picanto  Negotiable,1044855.63,121342.6,628
Mitsubishi  D-Max  Negotiable,1087153.63,126671.1,628
Mazda  Innova  Negotiable,1054223.19,125133.3,627
Hyundai  CR-V  Negotiable,1083197.43,129433.0,627
Mazda  Vios  Certified,1071263.03,126781.3,627
Foton  Picanto  Certified,1102327.12,124325.2,627
Toyota  Wigo  Negotiable,1054461.27,122534.3,626
Hyundai  Vios  Negotiable,1077537.74,123081.4,626
Geely  HR-V  Negotiable,1077884.43,127556.9,626
Geely  EcoSport  Negotiable,1066832.67,126157.6,625
Isuzu  CR-V  Negotiable,1052661.41,123733.4,625
Suzuki  HR-V  Negotiable,1084878.74,127118.4,625
Chevrolet  CX-5  Negotiable,1093057.75,119055.6,625
Chevrolet  Montero  Sport  Negotiable,1076906.56,124710.6,624
Hyundai  Fortuner  Certified,1074365.77,130193.0,624
