display_title,avg_price,avg_calories,occurrence_count
C2  Cheese,137.24,414.7,13
lucky me instant coffee,137.78,354.2,13
Selecta  Wafer,153.63,262.6,13
Chippy  Beef  Loaf,173.99,340.3,12
Fita  Vienna  Sausage,119.26,312.8,12
Reno  Cookies,144.89,259.7,12
Magnolia  Pancit  Canton,135.86,445.9,11
Datu  Puti  Fruit  Juice,148.06,345.5,11
NOVA SARDINES,99.84,334.9,11
milo chocolate drink,118.78,268.5,11
Alaska  Evaporated  Milk,135.92,418.3,11
Nova  Vienna  Sausage,1094.05,304.1,11
GARDENIA FRUIT JUICE,132.07,420.7,11
Monde  Soy  Sauce,109.62,369.9,11
SkyFlakes  Mayonnaise,129.71,281.8,10
c2 potato chips,154.17,413.8,10
Reno  Potato  Chips,140.45,323.2,10
CDO  Chocolate  Bar,851.49,316.4,10
Datu  Puti  Soy  Sauce,1187.41,313.9,10
san miguel cheese,140.68,387.1,10
JACK 'N JILL PANCIT CANTON,319.72,358.2,10
CDO  Tuna  Flakes,78.03,403.0,10
Bear  Brand  Sugar,164.0,294.2,10
Chippy  Sardines,132.43,375.5,10
PIATTOS RICE,129.54,289.9,10
Alaska  Wafer,129.36,308.7,10
Monde  Salt,118.01,381.0,10
Lucky  Me  Biscuits,143.21,248.5,10
Purefoods Cheese,132.9,319.2,9
del monte soy sauce,147.9,292.9,9
Fita  Hotdog,156.25,240.3,9
Nestle Wafer,153.46,419.2,9
Selecta  Fruit  Juice,1161.35,258.4,9
Alaska  Biscuits,459.99,334.6,9
Oishi  Cookies,129.52,333.3,9
Piattos  Evaporated  Milk,124.88,322.2,9
Nescafe  Tuna  Flakes,151.34,326.3,9
CDO  Crackers,90.58,323.7,9
Century  Tuna  Instant  Coffee,147.19,305.7,9
Mega  Salt,857.34,310.9,9
SkyFlakes  Wafer,997.89,283.2,9
Magnolia  Wafer,132.53,315.6,9
nova cheese,110.86,370.7,9
Selecta  Cookies,144.61,360.9,9
Bear  Brand  Crackers,103.39,274.0,9
Gardenia  Shrimp  Crackers,133.98,408.0,9
RENO CHOCOLATE BAR,129.75,318.8,9
Nova  Cookies,124.7,388.0,9
CDO  Vienna  Sausage,145.34,284.3,9
Eden  Hotdog,134.57,328.1,9
NOVA CONDENSED MILK,179.52,318.0,9
Nescafe  Chocolate  Bar,148.88,288.3,9
Chippy  Tuna  Flakes,155.75,258.1,9
Purefoods Oatmeal,91.55,312.4,9
Bear  Brand  Instant  Coffee,137.85,315.1,9
Eden  Rice,119.95,332.1,9
Argentina  Rice,98.74,313.7,9
Piattos  Corned  Beef,132.22,337.3,9
EDEN COOKIES,109.09,396.0,9
Purefoods  Salt,103.46,364.4,9
UFC  Oatmeal,652.69,312.1,9
CDO  Instant  Coffee,129.13,289.5,8
chippy soy sauce,152.6,438.5,8
Piattos  Wafer,594.25,365.4,8
Argentina  Sardines,104.71,262.4,8
Magnolia  Salt,175.42,374.4,8
CDO  Sugar,98.11,341.4,8
SkyFlakes  Salt,148.75,346.8,8
Nova  Tomato  Sauce,80.71,399.0,8
Lucky  Me  Potato  Chips,176.21,406.6,8
del monte tomato sauce,338.38,320.5,8
Del  Monte  Peanut  Butter,133.51,359.0,8
Argentina Mayonnaise,118.48,351.5,8
SKYFLAKES CRACKERS,120.54,331.8,8
555  Cookies,125.09,377.4,8
