Listing_ID,Car_Title,Price_Raw,Source_Platform,Date_Scraped,Mileage_Raw
0,MITSUBISHI CITY,177359.66 php,AutoDeal,2024-03-03,"113,417 KM"
1,Toyota CX-5,1070543.04,AutoDeal,2024-03-02,198982 km
2,Toyota Wigo,1518686.00,AutoDeal,2024-03-22,248944 km
3,Mitsubishi Wigo,1781588.99,Honda Cars Pre-Owned,2024-03-12,223195 km
4,honda montero sport gxl,1099324.85,Facebook Marketplace,2024-03-19,74449 km
5,ford br-v certified,966597.68 php,AutoDeal,2024-03-24,33754km
6,ford vios gl certified,632865.93,SM Auto,2024-03-14,208354 km
7,honda hr-v,401514.24 php,SM Auto,2024-03-22,34533km
8,Kia HR-V Certified,1366412.14,OLX,2024-03-01,"12,113 KM"
9,isuzu mu-x,1169392.86,Facebook Marketplace,2024-03-21,241992km
10,Geely BR-V NEGO,196641246,AutoDeal,2024-03-11,233109 km
11,KIA MONTERO SPORT SPORT,,Facebook Marketplace,2024-03-11,166450 km
12,Mazda MU-X,$658874.32,OLX,2024-03-10,233862 km
13,honda cr-v,1025511.84,AutoDeal,2024-03-23,80336 km
14,suzuki city,303618.37,Carmudi,2024-03-15,12986 kms
15,Suzuki Sportage Sport,981744.75 php,Local Dealer,2024-03-15,
16,Mazda CR-V,$332940.31,Local Dealer,2024-03-25,122071 km
17,ISUZU CX-5 VGT,1434148.41,Facebook Marketplace,2024-03-03,100311 km
18,honda xpander,"1692967,10",Local Dealer,2024-03-16,183773 km
19,Geely CX-5 XLE,1526571.22,SM Auto,2024-03-03,"192,318 KM"
20,Mazda City AT,742358.57,Local Dealer,2024-03-06,73229 km
21,Nisan Ranger,627732.65,AutoDeal,2024-03-27,94742 km
22,Mazda EcoSport,1709910.23,Toyota Certified Pre-Owned,2024-03-23,191590 km
23,Chevrolet  Ertiga  GXL,"1822482,98",Toyota Certified Pre-Owned,2024-03-11,11189 km
24,Mazda Accent MT Preowned,1635547.09,Carmudi,2024-03-07,243777 km
25,Nissan  Ertiga  MT,1301326.10,SM Auto,2024-03-09,"17,611 KM"
26,Toyota HRV XLE,"1358290,81",OLX,2024-03-25,2022 km
27,chevrolet mu-x,1000290.89,Carmudi,2024-03-17,240895 km
28,Foton  HR-V  MT,357174.66,Toyota Certified Pre-Owned,2024-03-21,54237 km
29,Foton Montero Sport VGT,1066468.58,Toyota Certified Pre-Owned,2024-03-09,169137 km
30,honda tucson gl,176241.81,AutoDeal,2024-03-10,125696 km
31,SUZUKI RANGER,684253.73,SM Auto,2024-03-27,125911 km
32,Kia CR-V Negotiable,$1613829.29,Local Dealer,2024-03-10,162346 km
33,Hyundai CR-V LE NEGO,141680497,Facebook Marketplace,2024-03-14,77215 km
34,mg city mt,646647.24,Honda Cars Pre-Owned,2024-03-26,189778 kms
35,mazda civic,1740556.64,Honda Cars Pre-Owned,2024-03-05,216530 km
36,MG Civic AT,"262950,53",Honda Cars Pre-Owned,2024-03-23,186135km
37,Honda Almera L,229465.64 php,SM Auto,2024-03-11,203541 km
38,Chevrolet  MU-X,1881149.00,SM Auto,2024-03-21,42215 km
