ID_Source,Product_Name,Price_Raw,Supplier_Name,Date_Scraped,Calories_Raw
0,CHIPPY POTATO CHIPS REFILL PACK,52.12,7-Eleven,2023-10-03,195 kcal
1,bear brand condensed milk family size,$63.60,Landers,2023-10-03,522 kcal
2,Jack 'n Jill Tuna Flakes Sachet,248.10,SM Supermarket,2023-10-26,200 kcal
3,Century Tuna Chese,73.92,Waltermart,2023-10-16,311 cal
4,Gardenia Biscuits,207.40,S&R,2023-10-11,446 cal
5,DEL MONTE WAFER SACHET,37.58,S&R,2023-10-27,
6,555 COOKIES,140.60,7-Eleven,2023-10-02,168 kcal
7,gardenia hotdog refill pack,148.20,SM Supermarket,2023-10-09,596 cal
8,MAGNOLIA SOY SAUCE,,Puregold,2023-10-19,514 kcal
9,GARDENIA SHRIMP CRACKERS,$93.96,S&R,2023-10-11,491kcal
10,CHIPPY CORNED BEEF,,Puregold,2023-10-08,164 kcal
11,Datu  Puti  Wafer,142.67,S&R,2023-10-24,256 kcal
12,Jack 'n Jill Potto Chips Pack of 3,57.71,Robinsons Supermarket,2023-10-23,202 kcal
13,nescafe mayonnaise family size,61.27,S&R,2023-10-18,293 kcal
14,monde rice,"136,07",Landers,2023-10-03,204 kcal
15,Chipy Wafer,214.03,Alfamart,2023-10-28,197 Kcal
16,nescafe soy sauce,68.76,S&R,2023-10-15,354kcal
17,MONDE PANCIT CANTON,,Robinsons Supermarket,2023-10-12,319 kcal
18,purefoods sugar,83.29,7-Eleven,2023-10-17,110 cal
19,nescafe vienna sausage,66.92,Waltermart,2023-10-02,194 cal
20,Gardenia Oatmeal,14452,Puregold,2023-10-17,559 Kcal
21,Jack  'n  Jill  Cheese  Refill  Pack,"142,62",Puregold,2023-10-24,
22,ita Shrimp Crackers,218.47,Alfamart,2023-10-23,360 Kcal
23,JACK 'N JILL CONDENSED MILK,163.29,S&R,2023-10-05,96 kcal
24,Fita Biscuits,213.44,Alfamart,2023-10-15,460 Kcal
25,DATU PUTI SOY SAUCE,21.72 eur,Robinsons Supermarket,2023-10-20,93kcal
26,MAGNOLIA SHRIMP CRACKERS SACHET,$90.32,S&R,2023-10-02,340 kcal
27,Lucky Me SoySauce,112.78 eur,Landers,2023-10-10,106 kcal
28,CDO Chocolate Drink,60.35,Waltermart,2023-10-10,538 kcal
29,CDO Fruit Juice Pack of 3,90.21,Robinsons Supermarket,2023-10-14,582 kcal
30,piattos hotdog pack of 3,"58,60",Alfamart,2023-10-22,238 Kcal
31,ARGENTINA CORNED BEEF FAMILY SIZE,50.27,Alfamart,2023-10-01,
32,Del Monte Cheese,"138,07",Alfamart,2023-10-17,172kcal
33,mega sugar pack of 3,110.65,Puregold,2023-10-22,197 Kcal
34,purefoods evaporated milk,$122.66,S&R,2023-10-27,471 kcal
35,nova tuna flakes bottle,16.74,7-Eleven,2023-10-22,437 cal
36,Argentina Mayonnaise,$91.76,Waltermart,2023-10-07,213 kcal
37,SKYFLAKES EVAPORATED MILK FAMILY SIZE,179.12,S&R,2023-10-01,391kcal
38,nestle condensed milk sachet,0,Waltermart,2023-10-09,199 kcal
39,SkyFlakes Sugar Family Size,$110.67,Landers,2023-10-26,417 kcal
40,Alaska  Peanut  Butter  Pack  of  3,1642,Robinsons Supermarket,2023-10-19,590 kcal
41,San Miguel Crackers Bottle,244.30,SM Supermarket,2023-10-15,179 kcal
42,NOVA OATMEAL,$28.12,Waltermart,2023-10-04,
43,fita soy sauce pack of 3,229.01 eur,S&R,2023-10-13,406 kcal
44,Fita Sardines Bottle,$38.20,Puregold,2023-10-16,131 kcal
45,milo tuna flakes,195.39,Alfamart,2023-10-20,421kcal
46,nescafe peanut butter bottle,101.70 eur,S&R,2023-10-18,444 kcal
47,Mega  Peanut  Butter,$163.58,SM Supermarket,2023-10-28,170 kcal
48,jack 'n jill sugar,"99,88",Alfamart,2023-10-06,358 kcal
49,UFC  Instant  Coffee  Refill  Pack,16.04,SM Supermarket,2023-10-06,307 Kcal
50,Eden Evporated Milk Pack of 3,28.93 eur,Alfamart,2023-10-18,317 kcal
51,DEL MONTE CRACKERS,164.42,Waltermart,2023-10-12,175 kcal
52,UFC Vienna Susage Family Size,57.38,SM Supermarket,2023-10-04,223 kcal
53,san miguel soy sauce family size,14111,Waltermart,2023-10-28,480 kcal
54,piattos peanut butter bottle,105.25,Waltermart,2023-10-19,575 kcal
55,Nescafe Cooking Oil Refill Pack,56.16,Waltermart,2023-10-16,490 cal
56,UFC MAYONNAISE,167.82,Alfamart,2023-10-25,505kcal
57,san miguel oatmeal,174.65 eur,Landers,2023-10-03,246 kcal
58,san miguel mayonnaise refill pack,,Puregold,2023-10-17,464 kcal
59,chippy chocolate bar refill pack,71.94,SM Supermarket,2023-10-06,549kcal
60,Milo Sugar,"106,85",Puregold,2023-10-17,409 kcal
61,CDO INSTANT COFFEE REFILL PACK,45.39,S&R,2023-10-07,113 kcal
62,Lucky Me Chocolate Bar,162.79,SM Supermarket,2023-10-12,404 kcal
63,Datu Puti Salt,131.62 eur,Landers,2023-10-17,156 kcal
64,C2 Wafer,190.40,S&R,2023-10-13,385 cal
65,Datu Puti Oatmeal Refill Pack,$62.75,SM Supermarket,2023-10-19,
66,CHIPPY CORNED BEEF SACHET,159.26,Landers,2023-10-27,350 kcal
67,Magnolia Biscuits Pack of 3,205.45,S&R,2023-10-05,411kcal
68,CDO Spghetti Sauce Sachet,$177.85,Waltermart,2023-10-02,183 kcal
69,Datu  Puti  Shrimp  Crackers,112.24,Alfamart,2023-10-16,134 cal
70,gardenia pancit canton sachet,,Waltermart,2023-10-26,555 kcal
71,lucky me chocolate bar family size,25.94,Landers,2023-10-06,274 cal
72,Magnolia Peanut Butter Sachet,231.39,Robinsons Supermarket,2023-10-20,216 cal
73,Alska Beef Loaf,92.61,Robinsons Supermarket,2023-10-25,441 kcal
74,Nescafe Tuna Flakes,194.43,Alfamart,2023-10-25,
75,Century Tuna Potato hips Bottle,23487,7-Eleven,2023-10-04,110 kcal
76,del monte mayonnaise sachet,,Waltermart,2023-10-17,532 Kcal
77,555 Spaghetti Sauce,41.70,SM Supermarket,2023-10-02,271 kcal
78,CenturyTuna Crackers,13266,Waltermart,2023-10-18,300 kcal
79,C2 Pancit Canton,187.05,SM Supermarket,2023-10-19,373 kcal
80,Mega Crackers Bottle,"183,10",7-Eleven,2023-10-05,447 kcal
81,nescafe fruit juice bottle,157.02,Waltermart,2023-10-27,495 cal
82,c2 potato chips,211.50,SM Supermarket,2023-10-11,302 Kcal
